epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
71,10/30 13:41:51,9452,-47603.6227681437,-0.061472337692976,-0.01432113815099001,29.33326976103675,False,True,0.06311848586175733,0.2121368338901387,-754194.624890172
72,10/30 13:42:27,3027,-112982.40546067084,-0.12967798113822937,-0.04988245666027069,17.083561899699824,False,True,0.13894113404064115,0.21243075831607733,-813167.4341136641
73,10/30 13:42:50,1889,-98355.150301534,-0.08169379830360413,-0.1236748993396759,15.775576432014184,False,True,0.14822063792009774,0.03708060670450571,-663572.5745193119
74,10/30 13:43:11,1783,-93303.62581141271,-0.06465974450111389,0.07220156490802765,13.452431616195748,False,True,0.09692238679289815,0.149109862076532,-962663.3113233382
75,10/30 13:44:58,10000,-25357.986547213102,-0.046214427798986435,0.09541136771440506,4.737394722099462,False,True,0.10601463158577068,0.0723058282565701,-239193.2714183639
76,10/30 13:45:09,837,-96768.29899081256,0.03641467168927193,-0.033382389694452286,26.86937881014221,False,True,0.04940052695216517,0.2121324175594695,-1958851.5540434192
77,10/30 13:45:35,2378,-140103.59138039657,-0.09684982150793076,-0.03479398787021637,11.310783407391076,False,True,0.10291020120245806,0.18105747177970236,-1361415.9698781166
78,10/30 13:45:49,1237,-133385.7491719156,-0.04726863279938698,-0.024961628019809723,16.115034254929828,False,True,0.053454715635400385,0.13424389555307817,-2495303.689981299
79,10/30 13:47:30,10000,-44644.13709868107,0.09937236458063126,0.0351409837603569,4.188543106009768,False,True,0.10540282873724874,0.1589788839245188,-423557.29569622164
80,10/30 13:47:43,903,-104980.58432823079,0.00810089148581028,-0.07617565244436264,25.31810702360617,False,True,0.07660518485457204,0.10344773425793873,-1370410.9523072995
81,10/30 13:47:53,1016,-107590.39224641194,0.030260035768151283,-0.05279389023780823,24.22900265764173,False,True,0.060851168841338656,0.1240413768915589,-1768090.80737528
82,10/30 13:48:26,4031,-97353.8182191278,-0.11494274437427521,-0.10076412558555603,6.0678078983731565,False,True,0.1528569405338568,0.11703130089082252,-636894.9808828902
83,10/30 13:48:41,1345,-95902.90238543574,-0.044409457594156265,-0.10767283290624619,10.352281233071611,False,True,0.11647162329904058,0.060428461719936696,-823401.440359471
84,10/30 13:48:49,647,-97194.86196043307,0.09946952760219574,0.013128167949616909,24.95386349773578,False,True,0.10033212508393441,0.21228480577736597,-968731.2202260562
